날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 03월 14일,"49,159,000","47,425,000","49,480,000","47,113,000",0.99K,3.67%
2022년 03월 13일,"47,417,000","48,471,000","48,869,000","47,300,000",0.88K,-2.21%
2022년 03월 12일,"48,489,000","48,232,000","48,998,000","48,130,000",0.45K,0.53%
2022년 03월 11일,"48,232,000","48,905,000","49,889,000","47,750,000",0.73K,-1.38%
2022년 03월 10일,"48,905,000","51,571,000","51,772,000","48,210,000",0.78K,-5.22%
2022년 03월 09일,"51,596,000","48,197,000","52,231,000","48,141,000",0.95K,7.05%
2022년 03월 08일,"48,199,000","47,387,000","48,757,000","47,283,000",0.43K,1.69%
2022년 03월 07일,"47,399,000","47,776,000","48,824,000","46,478,000",1.36K,-0.79%
2022년 03월 06일,"47,777,000","48,620,000","48,993,000","47,210,000",1.19K,-1.73%
2022년 03월 05일,"48,620,000","48,406,000","48,835,000","47,900,000",0.58K,0.43%
2022년 03월 04일,"48,411,000","51,780,000","51,875,000","48,077,000",1.37K,-6.51%
2022년 03월 03일,"51,780,000","53,398,000","53,700,000","51,121,000",1.25K,-3.03%
2022년 03월 02일,"53,398,000","53,800,000","54,697,000","52,720,000",0.76K,-0.74%
2022년 03월 01일,"53,798,000","52,173,000","54,645,000","51,904,000",1.02K,3.16%
2022년 02월 28일,"52,152,000","46,275,000","52,970,000","46,059,000",2.47K,12.64%
2022년 02월 27일,"46,299,000","47,766,000","48,500,000","45,645,000",1.42K,-3.10%
2022년 02월 26일,"47,779,000","47,807,000","48,833,000","47,151,000",0.70K,-0.08%
2022년 02월 25일,"47,818,000","46,816,000","48,438,000","46,440,000",1.25K,2.14%
2022년 02월 24일,"46,816,000","45,431,000","48,092,000","42,524,000",2.19K,3.05%
2022년 02월 23일,"45,431,000","46,441,000","47,472,000","45,120,000",1.27K,-2.15%
2022년 02월 22일,"46,429,000","45,340,000","46,612,000","44,679,000",1.30K,2.40%
2022년 02월 21일,"45,340,000","47,063,000","48,102,000","45,038,000",1.63K,-3.66%
2022년 02월 20일,"47,063,000","49,046,000","49,074,000","46,600,000",0.63K,-4.10%
2022년 02월 19일,"49,074,000","48,945,000","49,169,000","48,226,000",0.12K,0.29%
2022년 02월 18일,"48,932,000","49,277,000","50,056,000","48,328,000",1.05K,-0.70%
2022년 02월 17일,"49,277,000","53,173,000","53,426,000","49,059,000",1.43K,-7.34%
2022년 02월 16일,"53,183,000","53,691,000","53,714,000","52,728,000",1.02K,-0.97%
2022년 02월 15일,"53,706,000","51,604,000","53,905,000","51,432,000",1.35K,4.07%
2022년 02월 14일,"51,607,000","51,457,000","52,000,000","50,621,000",1.03K,0.29%
2022년 02월 13일,"51,457,000","51,597,000","52,112,000","51,150,000",0.89K,-0.27%
2022년 02월 12일,"51,595,000","51,792,000","52,296,000","50,800,000",0.85K,-0.38%
2022년 02월 11일,"51,792,000","53,004,000","53,222,000","51,157,000",1.47K,-2.29%
2022년 02월 10일,"53,004,000","53,551,000","55,280,000","52,586,000",1.69K,-1.02%
2022년 02월 09일,"53,551,000","53,710,000","53,977,000","52,500,000",1.28K,-0.27%
2022년 02월 08일,"53,698,000","53,462,000","55,269,000","52,222,000",1.53K,0.42%
2022년 02월 07일,"53,471,000","51,745,000","54,059,000","51,046,000",1.39K,3.34%
2022년 02월 06일,"51,745,000","50,734,000","52,000,000","50,367,000",0.83K,1.99%
2022년 02월 05일,"50,734,000","50,604,000","51,383,000","50,163,000",0.69K,0.26%
2022년 02월 04일,"50,604,000","45,750,000","50,778,000","45,430,000",1.45K,10.60%
2022년 02월 03일,"45,754,000","45,429,000","45,804,000","44,726,000",1.17K,0.70%
2022년 02월 02일,"45,437,000","47,773,000","47,873,000","45,351,000",1.50K,-4.87%
2022년 02월 01일,"47,762,000","47,194,000","48,152,000","46,857,000",1.65K,1.15%
2022년 01월 31일,"47,219,000","47,178,000","47,578,000","45,531,000",0.68K,0.08%
2022년 01월 30일,"47,180,000","47,200,000","47,484,000","46,517,000",0.45K,-0.04%
2022년 01월 29일,"47,200,000","46,632,000","47,672,000","46,120,000",0.46K,1.27%
2022년 01월 28일,"46,606,000","45,750,000","46,843,000","45,024,000",0.67K,1.82%
2022년 01월 27일,"45,775,000","45,026,000","45,784,000","43,697,000",0.96K,1.66%
2022년 01월 26일,"45,026,000","44,868,000","47,384,000","44,404,000",1.89K,0.34%
2022년 01월 25일,"44,872,000","44,726,000","45,467,000","43,440,000",1.20K,0.33%
2022년 01월 24일,"44,726,000","44,272,000","45,534,000","40,813,000",2.64K,1.03%
2022년 01월 23일,"44,272,000","43,452,000","44,502,000","42,715,000",0.82K,1.89%
2022년 01월 22일,"43,452,000","45,242,000","45,503,000","42,666,000",1.41K,-3.92%
2022년 01월 21일,"45,225,000","49,656,000","49,945,000","44,499,000",2.03K,-8.94%
2022년 01월 20일,"49,665,000","50,236,000","52,273,000","49,562,000",1.36K,-1.14%
2022년 01월 19일,"50,237,000","51,132,000","51,350,000","49,884,000",0.59K,-1.75%
2022년 01월 18일,"51,132,000","51,454,000","51,594,000","50,156,000",1.21K,-0.58%
2022년 01월 17일,"51,430,000","52,079,000","52,228,000","50,761,000",0.94K,-1.25%
2022년 01월 16일,"52,079,000","52,303,000","52,530,000","51,888,000",0.60K,-0.43%
2022년 01월 15일,"52,302,000","52,219,000","52,843,000","51,820,000",0.39K,0.11%
2022년 01월 14일,"52,247,000","51,756,000","52,650,000","51,000,000",0.60K,0.98%
2022년 01월 13일,"51,739,000","53,338,000","53,877,000","51,690,000",1.23K,-3.06%
2022년 01월 12일,"53,373,000","52,334,000","53,859,000","51,680,000",0.56K,1.99%
2022년 01월 11일,"52,334,000","51,187,000","52,497,000","50,399,000",1.01K,2.29%
2022년 01월 10일,"51,163,000","51,700,000","51,960,000","48,868,000",0.83K,-1.03%
2022년 01월 09일,"51,694,000","52,141,000","52,615,000","51,053,000",0.54K,-0.86%
2022년 01월 08일,"52,141,000","51,356,000","52,661,000","50,772,000",0.61K,1.53%
2022년 01월 07일,"51,356,000","53,245,000","53,341,000","50,739,000",0.41K,-3.55%
2022년 01월 06일,"53,245,000","53,773,000","54,237,000","52,357,000",0.41K,-1.01%
2022년 01월 05일,"53,788,000","56,030,000","57,059,000","52,730,000",1.22K,-4.00%
2022년 01월 04일,"56,030,000","56,617,000","57,649,000","55,900,000",0.43K,-1.05%
2022년 01월 03일,"56,626,000","57,496,000","57,764,000","56,011,000",0.41K,-1.51%
2022년 01월 02일,"57,496,000","57,988,000","58,198,000","57,100,000",0.22K,-0.85%
2022년 01월 01일,"57,989,000","56,686,000","58,279,000","56,643,000",0.51K,2.38%
2021년 12월 31일,"56,641,000","57,155,000","58,865,000","56,001,000",0.59K,-0.90%
2021년 12월 30일,"57,155,000","56,989,000","58,198,000","56,258,000",2.86K,0.29%
2021년 12월 29일,"56,989,000","58,277,000","58,659,000","56,590,000",1.30K,-2.21%
2021년 12월 28일,"58,278,000","61,400,000","61,412,000","57,900,000",0.60K,-5.08%
2021년 12월 27일,"61,400,000","61,415,000","62,495,000","60,865,000",0.49K,-0.03%
2021년 12월 26일,"61,418,000","61,117,000","61,940,000","60,354,000",0.59K,0.45%
2021년 12월 25일,"61,141,000","61,935,000","62,432,000","61,080,000",0.43K,-1.28%
2021년 12월 24일,"61,935,000","61,480,000","62,829,000","61,224,000",0.54K,0.74%
2021년 12월 23일,"61,480,000","59,600,000","61,860,000","58,991,000",0.79K,3.13%
2021년 12월 22일,"59,614,000","59,951,000","60,584,000","59,513,000",0.54K,-0.51%
2021년 12월 21일,"59,920,000","57,779,000","60,465,000","57,330,000",0.53K,3.66%
2021년 12월 20일,"57,803,000","58,284,000","58,499,000","56,837,000",0.56K,-0.83%
2021년 12월 19일,"58,284,000","58,310,000","59,661,000","57,997,000",0.47K,-0.04%
2021년 12월 18일,"58,310,000","57,914,000","58,799,000","57,102,000",0.39K,0.68%
2021년 12월 17일,"57,914,000","59,547,000","59,948,000","57,243,000",0.73K,-2.74%
2021년 12월 16일,"59,547,000","61,046,000","61,502,000","59,323,000",0.68K,-2.46%
2021년 12월 15일,"61,046,000","59,765,000","61,936,000","58,508,000",0.87K,2.25%
2021년 12월 14일,"59,705,000","58,417,000","60,000,000","57,201,000",0.63K,2.20%
2021년 12월 13일,"58,417,000","61,984,000","62,079,000","58,000,000",0.75K,-5.66%
2021년 12월 12일,"61,924,000","61,412,000","62,841,000","60,864,000",0.48K,0.84%
2021년 12월 11일,"61,410,000","59,663,000","61,490,000","59,500,000",0.49K,2.86%
2021년 12월 10일,"59,705,000","59,191,000","61,901,000","58,990,000",0.73K,0.67%
2021년 12월 09일,"59,307,000","62,073,000","62,350,000","59,050,000",0.80K,-4.44%
2021년 12월 08일,"62,063,000","63,063,000","63,299,000","60,500,000",0.42K,-1.59%
2021년 12월 07일,"63,063,000","62,586,000","63,999,000","62,246,000",0.55K,0.74%
2021년 12월 06일,"62,600,000","61,741,000","62,981,000","58,955,000",0.73K,1.39%
2021년 12월 05일,"61,741,000","62,012,000","63,250,000","59,639,000",0.68K,-0.57%
2021년 12월 04일,"62,092,000","67,962,000","68,060,000","57,000,000",0.80K,-8.64%
2021년 12월 03일,"67,962,000","70,204,000","70,904,000","66,890,000",0.90K,-3.19%
2021년 12월 02일,"70,204,000","70,915,000","71,350,000","69,550,000",0.41K,-1.00%
2021년 12월 01일,"70,915,000","70,600,000","72,007,000","70,250,000",0.12K,0.49%
2021년 11월 30일,"70,566,000","72,203,000","73,040,000","70,000,000",1.20K,-2.26%
2021년 11월 29일,"72,200,000","72,299,000","73,148,000","71,349,000",0.90K,-0.08%
2021년 11월 28일,"72,260,000","70,140,000","72,656,000","68,531,000",0.79K,3.02%
