날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 05월 25일,"248,400","244,000","249,500","242,500",9.00K,1.64%
2020년 05월 24일,"244,400","250,400","254,600","244,100",22.96K,-2.40%
2020년 05월 23일,"250,400","251,400","255,900","248,900",5.54K,-0.40%
2020년 05월 22일,"251,400","243,100","254,100","239,000",16.40K,3.41%
2020년 05월 21일,"243,100","254,300","256,300","235,000",34.34K,-4.40%
2020년 05월 20일,"254,300","257,500","258,000","250,400",22.99K,-1.24%
2020년 05월 19일,"257,500","258,300","258,700","253,300",9.62K,-0.31%
2020년 05월 18일,"258,300","248,500","259,300","248,300",10.83K,3.94%
2020년 05월 17일,"248,500","241,600","251,100","241,100",15.42K,2.86%
2020년 05월 16일,"241,600","236,800","245,300","235,100",9.73K,2.03%
2020년 05월 15일,"236,800","244,500","245,300","234,700",16.17K,-3.15%
2020년 05월 14일,"244,500","241,800","248,000","237,300",18.99K,1.12%
2020년 05월 13일,"241,800","230,300","242,400","228,200",25.64K,4.99%
2020년 05월 12일,"230,300","226,400","232,700","226,100",16.23K,1.81%
2020년 05월 11일,"226,200","229,700","237,500","217,900",43.93K,-1.69%
2020년 05월 10일,"230,100","254,100","254,600","222,600",44.97K,-9.45%
2020년 05월 09일,"254,100","255,900","258,500","251,900",11.51K,-0.63%
2020년 05월 08일,"255,700","255,000","262,000","251,700",21.69K,0.31%
2020년 05월 07일,"254,900","244,900","259,000","243,100",40.20K,3.79%
2020년 05월 06일,"245,600","249,600","255,400","244,800",29.68K,-1.68%
2020년 05월 05일,"249,800","252,400","256,200","246,400",22.71K,-1.19%
2020년 05월 04일,"252,800","256,800","258,300","238,800",17.12K,-1.63%
2020년 05월 03일,"257,000","259,500","265,000","252,000",16.04K,-0.96%
2020년 05월 02일,"259,500","258,500","261,100","255,500",16.66K,0.27%
2020년 05월 01일,"258,800","250,100","264,700","249,800",17.75K,3.48%
2020년 04월 30일,"250,100","258,500","274,300","243,400",33.86K,-3.21%
2020년 04월 29일,"258,400","238,800","260,000","238,800",44.31K,8.16%
2020년 04월 28일,"238,900","239,600","240,000","234,800",11.58K,-0.33%
2020년 04월 27일,"239,700","240,300","242,300","232,100",19.60K,-0.21%
2020년 04월 26일,"240,200","236,300","242,100","234,400",25.15K,1.65%
2020년 04월 25일,"236,300","227,500","238,500","226,100",18.35K,3.91%
2020년 04월 24일,"227,400","224,500","230,300","224,100",12.52K,1.29%
2020년 04월 23일,"224,500","221,300","230,000","217,300",51.37K,1.35%
2020년 04월 22일,"221,500","209,800","222,800","209,000",28.74K,5.58%
2020년 04월 21일,"209,800","209,000","214,000","206,500",18.40K,0.38%
2020년 04월 20일,"209,000","218,900","225,000","206,400",72.38K,-4.61%
